P[bar],T[K]
1.2137729568969475,316.8746908670247
1.2138117474048595,316.8775494108364
1.2138505400386586,316.88040804506215
1.2138893347985094,316.8832667697068
1.2139281316845767,316.8861255847752
1.2139669306970258,316.88898449027226
1.214005731836022,316.89184348620296
1.2140445351017302,316.89470257257204
1.214083340494315,316.8975617493845
1.2141221480139426,316.9004210166452
1.2141609576607768,316.90328037435904
1.2141997694349835,316.90613982253086
1.214238583336728,316.90899936116557
1.2142773993661753,316.9118589902681
1.2143162175234903,316.91471870984327
1.214355037808839,316.9175785198961
1.2143938602223854,316.9204384204313
1.214432684764296,316.9232984114539
1.2144715114347353,316.92615849296874
1.2145103402338686,316.9290186649807
1.2145491711618612,316.93187892749467
1.214588004218879,316.9347392805156
1.2146268394050868,316.93759972404837
1.2146656767206496,316.9404602580978
1.2147045161657337,316.94332088266884
1.2147433577405038,316.9461815977664
1.2147822014451253,316.9490424033953
1.2148210472797638,316.9519032995605
1.2148598952445848,316.95476428626694
1.2148987453397535,316.9576253635194
1.2149375975654355,316.96048653132283
1.2149764519217963,316.96334778968213
1.2150153084090014,316.9662091386022
1.2150541670272161,316.96907057808795
1.215093027776606,316.97193210814424
1.2151318906573367,316.974793728776
1.215170755669574,316.97765543998804
1.2152096228134832,316.9805172417854
1.2152484920892301,316.9833791341729
1.2152873634969796,316.9862411171554
1.215326237036898,316.98910319073786
1.215365112709151,316.9919653549252
1.2154039905139038,316.9948276097222
1.2154428704513225,316.9976899551339
1.2154817525215724,317.0005523911652
1.2155206367248192,317.0034149178208
1.215559523061229,317.0062775351058
1.2155984115309677,317.0091402430251
1.2156373021342004,317.0120030415835
1.2156761948710932,317.01486593078596
1.2157150897418119,317.0177289106374
1.2157539867465221,317.0205919811427
1.21579288588539,317.02345514230666
1.215831787158581,317.0263183941343
1.2158706905662615,317.02918173663056
1.2159095961085968,317.03204516980026
1.215948503785753,317.03490869364833
1.2159874135978959,317.0377723081797
1.2160263255451917,317.0406360133992
1.2160652396278058,317.04349980931175
1.2161041558459051,317.04636369592237
1.2161430741996546,317.04922767323586
1.216181994689221,317.05209174125713
1.2162209173147696,317.0549558999911
1.216259842076467,317.0578201494427
1.2162987689744789,317.06068448961685
1.2163376980089717,317.0635489205184
1.2163766291801108,317.0664134421523
1.2164155624880628,317.06927805452335
1.216454497932994,317.07214275763664
1.21649343551507,317.075007551497
1.2165323752344577,317.07787243610926
1.2165713170913224,317.0807374114785
1.21661026108583,317.0836024776094
1.2166492072181478,317.0864676345071
1.2166881554884414,317.08933288217634
1.216727105896877,317.09219822062215
1.2167660584436206,317.09506364984935
1.2168050131288393,317.09792916986294
1.2168439699526987,317.10079478066774
